date,time_interval,service,working,staff_total,machines_active,weekday,holiday,giveaway,show
2025-04-28,13:00,T,T,13,709,sunday,FALSE,TRUE,FALSE
2025-04-28,13:00,F,F,13,709,sunday,FALSE,TRUE,FALSE
2025-04-28,13:00,F,T,13,709,sunday,FALSE,TRUE,FALSE
2025-04-28,13:00,na,na,13,709,sunday,FALSE,TRUE,FALSE
2025-04-28,13:00,F,T,13,709,sunday,FALSE,TRUE,FALSE
2025-04-28,13:00,F,T,13,709,sunday,FALSE,TRUE,FALSE
2025-04-28,14:00,F,T,13,896,sunday,FALSE,TRUE,FALSE
2025-04-28,14:00,F,F,13,896,sunday,FALSE,TRUE,FALSE
2025-04-28,14:00,F,F,13,896,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,na,na,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,na,na,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,F,F,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,F,T,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,F,T,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,na,na,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,na,na,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,F,T,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,F,T,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,T,T,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,F,T,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,F,T,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,T,F,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,F,T,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,15:00,F,T,21,1070,sunday,FALSE,TRUE,FALSE
2025-04-28,17:00,F,T,22,1253,sunday,FALSE,TRUE,FALSE
2025-04-28,17:00,F,T,22,1253,sunday,FALSE,TRUE,FALSE
2025-04-28,17:00,F,F,22,1253,sunday,FALSE,TRUE,FALSE
2025-04-28,17:00,na,na,22,1253,sunday,FALSE,TRUE,FALSE
2025-04-28,18:00,T,T,26,1357,sunday,FALSE,TRUE,FALSE
2025-04-28,19:00,F,T,31,1362,sunday,FALSE,TRUE,FALSE
2025-04-28,20:00,F,T,31,1319,sunday,FALSE,TRUE,FALSE
2025-04-28,20:00,F,T,31,1319,sunday,FALSE,TRUE,FALSE
2025-04-28,20:00,F,F,31,1319,sunday,FALSE,TRUE,FALSE